win,dn,TY,PassY,RushY,TO,dn_ald,TY_ald,PassY_ald,RushY_ald,TO_df
1,26.0,431.0,273.0,158.0,3.0,15.0,286.0,150.0,136.0,2.0
1,9.0,232.0,178.0,54.0,0.0,15.0,318.0,189.0,129.0,4.0
1,21.0,358.0,202.0,156.0,1.0,18.0,323.0,226.0,97.0,1.0
1,21.0,448.0,316.0,132.0,0.0,26.0,457.0,399.0,58.0,1.0
0,15.0,248.0,166.0,82.0,2.0,21.0,341.0,179.0,162.0,2.0
1,26.0,376.0,235.0,141.0,1.0,20.0,361.0,230.0,131.0,2.0
0,21.0,295.0,205.0,90.0,1.0,27.0,383.0,206.0,177.0,1.0
1,19.0,252.0,100.0,152.0,1.0,23.0,301.0,145.0,156.0,3.0
1,33.0,610.0,413.0,197.0,1.0,24.0,479.0,371.0,108.0,3.0
0,28.0,390.0,283.0,107.0,2.0,20.0,300.0,197.0,103.0,0.0
1,27.0,440.0,324.0,116.0,3.0,28.0,412.0,132.0,280.0,4.0
1,28.0,453.0,365.0,88.0,1.0,19.0,385.0,264.0,121.0,1.0
1,30.0,484.0,397.0,87.0,2.0,24.0,494.0,386.0,108.0,0.0
0,29.0,453.0,357.0,96.0,1.0,20.0,378.0,289.0,89.0,1.0
1,21.0,300.0,158.0,142.0,0.0,19.0,358.0,237.0,121.0,4.0
1,24.0,382.0,115.0,267.0,1.0,19.0,393.0,224.0,169.0,0.0
1,22.0,304.0,214.0,90.0,2.0,12.0,250.0,185.0,65.0,2.0
0,15.0,318.0,189.0,129.0,4.0,9.0,232.0,178.0,54.0,0.0
1,20.0,513.0,331.0,182.0,2.0,18.0,328.0,208.0,120.0,0.0
0,16.0,330.0,239.0,91.0,4.0,17.0,322.0,244.0,78.0,0.0
1,15.0,288.0,170.0,118.0,0.0,26.0,363.0,299.0,64.0,1.0
0,18.0,267.0,184.0,83.0,2.0,16.0,328.0,255.0,73.0,0.0
1,27.0,383.0,206.0,177.0,1.0,21.0,295.0,205.0,90.0,1.0
0,15.0,240.0,147.0,93.0,2.0,20.0,402.0,323.0,79.0,1.0
1,14.0,338.0,140.0,198.0,0.0,23.0,407.0,366.0,41.0,2.0
0,12.0,267.0,133.0,134.0,4.0,14.0,313.0,245.0,68.0,0.0
0,12.0,220.0,118.0,102.0,3.0,15.0,312.0,245.0,67.0,1.0
0,10.0,177.0,78.0,99.0,3.0,25.0,453.0,328.0,125.0,1.0
1,18.0,352.0,209.0,143.0,1.0,19.0,383.0,233.0,150.0,1.0
0,19.0,297.0,140.0,157.0,1.0,21.0,392.0,261.0,131.0,0.0
1,25.0,422.0,214.0,208.0,0.0,19.0,283.0,168.0,115.0,2.0
1,22.0,374.0,220.0,154.0,0.0,18.0,296.0,204.0,92.0,3.0
1,18.0,275.0,255.0,20.0,1.0,20.0,291.0,244.0,47.0,3.0
1,21.0,398.0,297.0,101.0,1.0,23.0,448.0,315.0,133.0,1.0
1,16.0,285.0,195.0,90.0,2.0,24.0,377.0,231.0,146.0,2.0
0,19.0,331.0,216.0,115.0,4.0,23.0,465.0,397.0,68.0,1.0
0,10.0,294.0,272.0,22.0,0.0,20.0,384.0,251.0,133.0,2.0
0,19.0,293.0,173.0,120.0,3.0,15.0,268.0,178.0,90.0,1.0
0,23.0,301.0,145.0,156.0,3.0,19.0,252.0,100.0,152.0,1.0
1,15.0,345.0,188.0,157.0,1.0,28.0,465.0,302.0,163.0,4.0
0,16.0,213.0,211.0,2.0,1.0,18.0,264.0,124.0,140.0,1.0
1,21.0,343.0,239.0,104.0,1.0,22.0,435.0,281.0,154.0,1.0
0,13.0,332.0,280.0,52.0,1.0,20.0,295.0,159.0,136.0,1.0
1,25.0,453.0,328.0,125.0,1.0,10.0,177.0,78.0,99.0,3.0
1,18.0,367.0,186.0,181.0,1.0,16.0,412.0,328.0,84.0,1.0
1,20.0,378.0,289.0,89.0,1.0,29.0,453.0,357.0,96.0,1.0
0,6.0,103.0,89.0,14.0,2.0,18.0,390.0,187.0,203.0,1.0
0,18.0,296.0,204.0,92.0,3.0,22.0,374.0,220.0,154.0,0.0
0,15.0,286.0,150.0,136.0,2.0,26.0,431.0,273.0,158.0,3.0
1,24.0,436.0,287.0,149.0,2.0,25.0,308.0,183.0,125.0,1.0
0,18.0,328.0,208.0,120.0,0.0,20.0,513.0,331.0,182.0,2.0
1,19.0,350.0,147.0,203.0,3.0,15.0,345.0,321.0,24.0,5.0
0,20.0,343.0,188.0,155.0,1.0,19.0,290.0,199.0,91.0,0.0
0,20.0,322.0,192.0,130.0,1.0,26.0,483.0,318.0,165.0,1.0
1,15.0,268.0,178.0,90.0,1.0,19.0,293.0,173.0,120.0,3.0
0,20.0,299.0,211.0,88.0,3.0,21.0,386.0,309.0,77.0,0.0
0,25.0,470.0,229.0,241.0,3.0,15.0,210.0,115.0,95.0,0.0
0,16.0,227.0,132.0,95.0,1.0,19.0,300.0,164.0,136.0,1.0
1,14.0,313.0,245.0,68.0,0.0,12.0,267.0,133.0,134.0,4.0
0,19.0,405.0,210.0,195.0,2.0,26.0,423.0,272.0,151.0,1.0
0,14.0,214.0,147.0,67.0,5.0,13.0,246.0,81.0,165.0,2.0
1,25.0,366.0,168.0,198.0,2.0,22.0,354.0,195.0,159.0,4.0
1,18.0,390.0,187.0,203.0,1.0,6.0,103.0,89.0,14.0,2.0
0,19.0,393.0,224.0,169.0,0.0,24.0,382.0,115.0,267.0,1.0
0,18.0,340.0,277.0,63.0,3.0,17.0,323.0,242.0,81.0,1.0
1,22.0,407.0,280.0,127.0,0.0,14.0,278.0,234.0,44.0,2.0
1,19.0,297.0,215.0,82.0,4.0,27.0,399.0,217.0,182.0,4.0
0,16.0,266.0,203.0,63.0,2.0,18.0,336.0,247.0,89.0,0.0
1,21.0,341.0,179.0,162.0,2.0,15.0,248.0,166.0,82.0,2.0
1,26.0,483.0,318.0,165.0,1.0,20.0,322.0,192.0,130.0,1.0
1,18.0,421.0,364.0,57.0,0.0,22.0,434.0,357.0,77.0,0.0
1,20.0,402.0,323.0,79.0,1.0,15.0,240.0,147.0,93.0,2.0
0,28.0,465.0,302.0,163.0,4.0,15.0,345.0,188.0,157.0,1.0
0,21.0,364.0,244.0,120.0,3.0,18.0,189.0,104.0,85.0,3.0
1,10.0,224.0,118.0,106.0,2.0,15.0,330.0,228.0,102.0,4.0
1,19.0,354.0,190.0,164.0,2.0,19.0,334.0,243.0,91.0,3.0
1,28.0,430.0,275.0,155.0,0.0,21.0,389.0,326.0,63.0,0.0
0,19.0,279.0,222.0,57.0,1.0,19.0,290.0,184.0,106.0,1.0
1,24.0,426.0,345.0,81.0,1.0,10.0,209.0,94.0,115.0,4.0
1,21.0,392.0,281.0,111.0,4.0,17.0,222.0,175.0,47.0,3.0
0,14.0,194.0,163.0,31.0,2.0,17.0,229.0,117.0,112.0,0.0
0,14.0,278.0,234.0,44.0,2.0,22.0,407.0,280.0,127.0,0.0
0,21.0,459.0,379.0,80.0,5.0,15.0,258.0,151.0,107.0,0.0
0,29.0,434.0,357.0,77.0,2.0,16.0,393.0,248.0,145.0,0.0
1,16.0,328.0,255.0,73.0,0.0,18.0,267.0,184.0,83.0,2.0
1,17.0,286.0,145.0,141.0,1.0,19.0,287.0,205.0,82.0,0.0
0,20.0,276.0,241.0,35.0,2.0,13.0,279.0,82.0,197.0,3.0
0,24.0,479.0,371.0,108.0,3.0,33.0,610.0,413.0,197.0,1.0
1,19.0,300.0,164.0,136.0,1.0,16.0,227.0,132.0,95.0,1.0
1,24.0,398.0,358.0,40.0,0.0,21.0,451.0,344.0,107.0,3.0
1,19.0,302.0,217.0,85.0,0.0,19.0,367.0,312.0,55.0,4.0
0,22.0,329.0,257.0,72.0,0.0,16.0,311.0,237.0,74.0,0.0
0,16.0,412.0,328.0,84.0,1.0,18.0,367.0,186.0,181.0,1.0
1,19.0,290.0,184.0,106.0,1.0,19.0,279.0,222.0,57.0,1.0
1,21.0,343.0,192.0,151.0,2.0,26.0,370.0,219.0,151.0,2.0
1,17.0,292.0,172.0,120.0,2.0,15.0,293.0,214.0,79.0,2.0
0,24.0,393.0,335.0,58.0,2.0,24.0,510.0,445.0,65.0,2.0
1,19.0,296.0,197.0,99.0,1.0,13.0,259.0,194.0,65.0,0.0
1,16.0,236.0,161.0,75.0,0.0,18.0,264.0,170.0,94.0,1.0
0,15.0,345.0,321.0,24.0,5.0,19.0,350.0,147.0,203.0,3.0
1,20.0,384.0,251.0,133.0,2.0,10.0,294.0,272.0,22.0,0.0
0,15.0,360.0,313.0,47.0,1.0,15.0,438.0,298.0,140.0,2.0
0,19.0,287.0,205.0,82.0,0.0,17.0,286.0,145.0,141.0,1.0
0,18.0,278.0,223.0,55.0,2.0,19.0,315.0,242.0,73.0,1.0
1,18.0,189.0,104.0,85.0,3.0,21.0,364.0,244.0,120.0,3.0
0,23.0,317.0,143.0,174.0,2.0,18.0,319.0,215.0,104.0,0.0
1,15.0,312.0,245.0,67.0,1.0,12.0,220.0,118.0,102.0,3.0
1,16.0,311.0,237.0,74.0,0.0,22.0,329.0,257.0,72.0,0.0
1,23.0,325.0,228.0,97.0,3.0,15.0,379.0,265.0,114.0,1.0
1,18.0,305.0,215.0,90.0,0.0,19.0,349.0,230.0,119.0,3.0
0,19.0,358.0,237.0,121.0,4.0,21.0,300.0,158.0,142.0,0.0
0,17.0,222.0,175.0,47.0,3.0,21.0,392.0,281.0,111.0,4.0
0,20.0,291.0,244.0,47.0,3.0,18.0,275.0,255.0,20.0,1.0
0,13.0,259.0,194.0,65.0,0.0,19.0,296.0,197.0,99.0,1.0
1,23.0,409.0,306.0,103.0,4.0,21.0,329.0,195.0,134.0,3.0
1,18.0,336.0,247.0,89.0,0.0,16.0,266.0,203.0,63.0,2.0
1,19.0,290.0,199.0,91.0,0.0,20.0,343.0,188.0,155.0,1.0
0,23.0,395.0,269.0,126.0,2.0,24.0,366.0,248.0,118.0,1.0
0,17.0,216.0,133.0,83.0,1.0,26.0,357.0,253.0,104.0,0.0
0,13.0,340.0,283.0,57.0,1.0,20.0,331.0,195.0,136.0,0.0
1,19.0,315.0,242.0,73.0,1.0,18.0,278.0,223.0,55.0,2.0
0,15.0,330.0,228.0,102.0,4.0,10.0,224.0,118.0,106.0,2.0
0,19.0,367.0,312.0,55.0,4.0,19.0,302.0,217.0,85.0,0.0
0,24.0,439.0,342.0,97.0,3.0,22.0,314.0,202.0,112.0,1.0
0,24.0,494.0,386.0,108.0,0.0,30.0,484.0,397.0,87.0,2.0
0,20.0,366.0,273.0,93.0,2.0,23.0,440.0,261.0,179.0,3.0
0,19.0,283.0,168.0,115.0,2.0,25.0,422.0,214.0,208.0,0.0
0,15.0,293.0,214.0,79.0,2.0,17.0,292.0,172.0,120.0,2.0
1,18.0,274.0,147.0,127.0,0.0,20.0,372.0,201.0,171.0,2.0
0,23.0,448.0,315.0,133.0,1.0,21.0,398.0,297.0,101.0,1.0
1,23.0,336.0,152.0,184.0,0.0,14.0,254.0,139.0,115.0,2.0
1,26.0,437.0,280.0,157.0,1.0,14.0,205.0,165.0,40.0,3.0
1,20.0,317.0,208.0,109.0,2.0,21.0,423.0,205.0,218.0,2.0
0,12.0,267.0,193.0,74.0,1.0,24.0,374.0,227.0,147.0,0.0
1,19.0,334.0,213.0,121.0,1.0,23.0,429.0,365.0,64.0,3.0
1,17.0,314.0,245.0,69.0,0.0,22.0,483.0,340.0,143.0,0.0
0,21.0,406.0,388.0,18.0,5.0,12.0,372.0,232.0,140.0,1.0
1,24.0,366.0,229.0,137.0,0.0,20.0,340.0,218.0,122.0,1.0
0,15.0,239.0,159.0,80.0,1.0,27.0,410.0,290.0,120.0,0.0
1,18.0,264.0,160.0,104.0,1.0,24.0,347.0,185.0,162.0,4.0
0,21.0,389.0,326.0,63.0,0.0,28.0,430.0,275.0,155.0,0.0
1,19.0,331.0,179.0,152.0,1.0,12.0,239.0,132.0,107.0,2.0
1,19.0,367.0,232.0,135.0,0.0,18.0,287.0,132.0,155.0,3.0
1,23.0,379.0,299.0,80.0,0.0,19.0,350.0,308.0,42.0,2.0
1,17.0,229.0,117.0,112.0,0.0,14.0,194.0,163.0,31.0,2.0
0,14.0,248.0,129.0,119.0,0.0,25.0,452.0,280.0,172.0,2.0
1,23.0,452.0,282.0,170.0,0.0,19.0,277.0,175.0,102.0,1.0
1,17.0,322.0,244.0,78.0,0.0,16.0,330.0,239.0,91.0,4.0
0,19.0,339.0,234.0,105.0,3.0,20.0,353.0,233.0,120.0,2.0
0,13.0,223.0,157.0,66.0,2.0,24.0,404.0,253.0,151.0,2.0
0,15.0,368.0,298.0,70.0,2.0,19.0,349.0,196.0,153.0,0.0
1,22.0,363.0,165.0,198.0,2.0,21.0,363.0,203.0,160.0,2.0
0,19.0,362.0,279.0,83.0,4.0,13.0,214.0,160.0,54.0,2.0
0,20.0,340.0,218.0,122.0,1.0,24.0,366.0,229.0,137.0,0.0
1,22.0,426.0,312.0,114.0,0.0,19.0,353.0,260.0,93.0,2.0
0,24.0,347.0,185.0,162.0,4.0,18.0,264.0,160.0,104.0,1.0
0,15.0,254.0,158.0,96.0,2.0,39.0,551.0,397.0,154.0,0.0
0,32.0,460.0,394.0,66.0,3.0,24.0,360.0,215.0,145.0,0.0
1,22.0,346.0,164.0,182.0,1.0,15.0,289.0,226.0,63.0,1.0
1,17.0,311.0,160.0,151.0,1.0,19.0,288.0,223.0,65.0,4.0
0,12.0,178.0,107.0,71.0,2.0,17.0,292.0,171.0,121.0,0.0
0,15.0,248.0,214.0,34.0,0.0,16.0,340.0,114.0,226.0,1.0
0,17.0,265.0,214.0,51.0,3.0,28.0,479.0,323.0,156.0,2.0
0,14.0,205.0,165.0,40.0,3.0,26.0,437.0,280.0,157.0,1.0
0,16.0,363.0,267.0,96.0,3.0,22.0,351.0,208.0,143.0,0.0
0,20.0,362.0,291.0,71.0,2.0,26.0,407.0,295.0,112.0,3.0
0,18.0,353.0,275.0,78.0,1.0,27.0,434.0,276.0,158.0,0.0
0,20.0,318.0,228.0,90.0,1.0,25.0,398.0,177.0,221.0,1.0
1,13.0,214.0,160.0,54.0,2.0,19.0,362.0,279.0,83.0,4.0
0,14.0,274.0,242.0,32.0,2.0,19.0,416.0,402.0,14.0,0.0
1,16.0,333.0,215.0,118.0,0.0,11.0,218.0,141.0,77.0,1.0
1,22.0,314.0,202.0,112.0,1.0,24.0,439.0,342.0,97.0,3.0
1,18.0,281.0,132.0,149.0,0.0,23.0,406.0,323.0,83.0,2.0
0,22.0,354.0,195.0,159.0,4.0,25.0,366.0,168.0,198.0,2.0
0,15.0,289.0,226.0,63.0,1.0,22.0,346.0,164.0,182.0,1.0
0,19.0,350.0,308.0,42.0,2.0,23.0,379.0,299.0,80.0,0.0
1,26.0,449.0,329.0,120.0,1.0,14.0,263.0,183.0,80.0,1.0
1,25.0,452.0,280.0,172.0,2.0,14.0,248.0,129.0,119.0,0.0
0,18.0,264.0,170.0,94.0,1.0,16.0,236.0,161.0,75.0,0.0
0,29.0,476.0,325.0,151.0,3.0,15.0,270.0,91.0,179.0,2.0
0,17.0,313.0,182.0,131.0,4.0,17.0,284.0,107.0,177.0,0.0
0,27.0,420.0,267.0,153.0,4.0,15.0,216.0,117.0,99.0,0.0
0,14.0,294.0,221.0,73.0,1.0,20.0,357.0,231.0,126.0,2.0
0,22.0,483.0,340.0,143.0,0.0,17.0,314.0,245.0,69.0,0.0
0,17.0,235.0,159.0,76.0,1.0,19.0,332.0,235.0,97.0,3.0
0,14.0,394.0,304.0,90.0,2.0,12.0,341.0,176.0,165.0,0.0
0,11.0,218.0,141.0,77.0,1.0,16.0,333.0,215.0,118.0,0.0
0,19.0,385.0,264.0,121.0,1.0,28.0,453.0,365.0,88.0,1.0
0,23.0,406.0,323.0,83.0,2.0,18.0,281.0,132.0,149.0,0.0
0,12.0,239.0,132.0,107.0,2.0,19.0,331.0,179.0,152.0,1.0
0,14.0,240.0,153.0,87.0,2.0,25.0,511.0,397.0,114.0,0.0
0,19.0,288.0,223.0,65.0,4.0,17.0,311.0,160.0,151.0,1.0
1,24.0,510.0,445.0,65.0,2.0,24.0,393.0,335.0,58.0,2.0
1,23.0,414.0,307.0,107.0,1.0,28.0,376.0,353.0,23.0,4.0
1,31.0,536.0,372.0,164.0,2.0,13.0,342.0,293.0,49.0,0.0
1,35.0,472.0,331.0,141.0,0.0,21.0,450.0,284.0,166.0,0.0
1,34.0,517.0,414.0,103.0,2.0,24.0,522.0,470.0,52.0,2.0
1,26.0,407.0,295.0,112.0,3.0,20.0,362.0,291.0,71.0,2.0
0,23.0,429.0,365.0,64.0,3.0,19.0,334.0,213.0,121.0,1.0
1,29.0,446.0,339.0,107.0,4.0,22.0,266.0,154.0,112.0,5.0
1,22.0,397.0,313.0,84.0,1.0,20.0,329.0,198.0,131.0,0.0
1,24.0,427.0,323.0,104.0,1.0,24.0,344.0,200.0,144.0,1.0
0,28.0,412.0,132.0,280.0,4.0,27.0,440.0,324.0,116.0,3.0
1,25.0,535.0,403.0,132.0,2.0,27.0,452.0,293.0,159.0,1.0
1,39.0,551.0,397.0,154.0,0.0,15.0,254.0,158.0,96.0,2.0
0,19.0,295.0,277.0,18.0,1.0,24.0,337.0,160.0,177.0,0.0
1,25.0,511.0,397.0,114.0,0.0,14.0,240.0,153.0,87.0,2.0
1,28.0,458.0,334.0,124.0,0.0,17.0,255.0,191.0,64.0,1.0
1,17.0,292.0,171.0,121.0,0.0,12.0,178.0,107.0,71.0,2.0
1,19.0,313.0,199.0,114.0,0.0,20.0,318.0,281.0,37.0,2.0
1,19.0,394.0,248.0,146.0,0.0,21.0,431.0,167.0,264.0,5.0
1,21.0,390.0,288.0,102.0,3.0,11.0,298.0,200.0,98.0,3.0
1,20.0,353.0,233.0,120.0,2.0,19.0,339.0,234.0,105.0,3.0
1,16.0,216.0,105.0,111.0,1.0,18.0,274.0,153.0,121.0,3.0
1,20.0,357.0,231.0,126.0,2.0,14.0,294.0,221.0,73.0,1.0
1,20.0,331.0,195.0,136.0,0.0,13.0,340.0,283.0,57.0,1.0
1,15.0,210.0,115.0,95.0,0.0,25.0,470.0,229.0,241.0,3.0
0,24.0,344.0,200.0,144.0,1.0,24.0,427.0,323.0,104.0,1.0
0,26.0,395.0,281.0,114.0,2.0,24.0,491.0,387.0,104.0,0.0
0,27.0,452.0,293.0,159.0,1.0,25.0,535.0,403.0,132.0,2.0
1,20.0,346.0,154.0,192.0,1.0,13.0,257.0,192.0,65.0,2.0
1,19.0,384.0,306.0,78.0,1.0,26.0,461.0,331.0,130.0,7.0
0,18.0,287.0,132.0,155.0,3.0,19.0,367.0,232.0,135.0,0.0
0,22.0,332.0,189.0,143.0,0.0,19.0,405.0,219.0,186.0,1.0
0,14.0,263.0,183.0,80.0,1.0,26.0,449.0,329.0,120.0,1.0
1,33.0,539.0,413.0,126.0,2.0,22.0,522.0,422.0,100.0,0.0
0,19.0,277.0,175.0,102.0,1.0,23.0,452.0,282.0,170.0,0.0
1,27.0,506.0,394.0,112.0,1.0,21.0,319.0,227.0,92.0,1.0
0,27.0,427.0,391.0,36.0,5.0,17.0,299.0,195.0,104.0,0.0
1,24.0,374.0,227.0,147.0,0.0,12.0,267.0,193.0,74.0,1.0
1,27.0,434.0,276.0,158.0,0.0,18.0,353.0,275.0,78.0,1.0
0,25.0,410.0,341.0,69.0,2.0,27.0,500.0,291.0,209.0,1.0
0,20.0,329.0,198.0,131.0,0.0,22.0,397.0,313.0,84.0,1.0
0,22.0,435.0,281.0,154.0,1.0,21.0,343.0,239.0,104.0,1.0
1,24.0,491.0,387.0,104.0,0.0,26.0,395.0,281.0,114.0,2.0
0,19.0,334.0,243.0,91.0,3.0,19.0,354.0,190.0,164.0,2.0
1,25.0,388.0,244.0,144.0,1.0,18.0,333.0,241.0,92.0,3.0
1,24.0,337.0,160.0,177.0,0.0,19.0,295.0,277.0,18.0,1.0
1,24.0,344.0,196.0,148.0,3.0,14.0,265.0,206.0,59.0,2.0
1,19.0,405.0,219.0,186.0,1.0,22.0,332.0,189.0,143.0,0.0
0,20.0,372.0,201.0,171.0,2.0,18.0,274.0,147.0,127.0,0.0
1,16.0,340.0,114.0,226.0,1.0,15.0,248.0,214.0,34.0,0.0
0,13.0,342.0,293.0,49.0,0.0,31.0,536.0,372.0,164.0,2.0
0,14.0,298.0,194.0,104.0,3.0,15.0,339.0,217.0,122.0,1.0
1,17.0,299.0,195.0,104.0,0.0,27.0,427.0,391.0,36.0,5.0
0,18.0,274.0,153.0,121.0,3.0,16.0,216.0,105.0,111.0,1.0
1,13.0,279.0,82.0,197.0,3.0,20.0,276.0,241.0,35.0,2.0
0,29.0,560.0,350.0,210.0,2.0,21.0,542.0,418.0,124.0,0.0
0,12.0,213.0,106.0,107.0,2.0,19.0,251.0,118.0,133.0,3.0
1,12.0,341.0,176.0,165.0,0.0,14.0,394.0,304.0,90.0,2.0
0,19.0,353.0,260.0,93.0,2.0,22.0,426.0,312.0,114.0,0.0
0,16.0,305.0,255.0,50.0,2.0,23.0,352.0,208.0,144.0,1.0
0,19.0,383.0,233.0,150.0,1.0,18.0,352.0,209.0,143.0,1.0
0,26.0,461.0,331.0,130.0,7.0,19.0,384.0,306.0,78.0,1.0
